"","latitude","longitude","yearcollected","monthcollected","daycollected","sname","depth","depthprecision","bottomdepth","collectioncode","collector","minimumdepth","maximumdepth","fieldnumber","observedindividualcount"
"26",43.88333,-66.83333,1980,7,9,"Gadus morhua",76,4,123,"SUMMER","ATC",72,80,"ATC1980306-10",7
"27",44.16667,-60.96667,1973,7,25,"Hemitripterus americanus",32.5,2.5,50,"SUMMER","ATC",30,35,"ATC1973213-13",3
"28",42.75,-67.63333,1979,7,11,"Merluccius bilinearis",103,1,194,"SUMMER","ATC",102,104,"ATC1979292-38",15
"29",44.71667,-66.1,1980,7,9,"Myoxocephalus octodecemspinosus",54.5,0.5,98,"SUMMER","ATC",54,55,"ATC1980306-15",8
"30",42.93333,-62.3,1974,7,16,"Nezumia bairdii",156.5,4.5,371,"SUMMER","ATC",152,161,"ATC1974225-57",10
"31",45.91667,-59.6,1972,7,16,"Anarhichas lupus",35.5,0.5,50,"SUMMER","ATC",35,36,"ATC1972201-68",2
"32",44.45,-57.88333,1980,3,8,"Malacoraja senta",34.5,6.5,93,"SPRING","HAM",28,41,"HAM1980033-15",2
"33",45.11667,-59.16667,1972,7,14,"Gadus morhua",49,2,77,"SUMMER","ATC",47,51,"ATC1972201-65",14
"34",44.11667,-58.9,1976,8,1,"Gadus morhua",46,0,108,"SUMMER","ATC",46,46,"ATC1976251-47",3
"35",44.25,-60.7,1980,7,20,"Gadus morhua",68.5,17.5,103,"COMPARE","HAM",51,86,"HAM1980038-30",148
"36",43.81667,-60.61667,1971,7,15,"Gadus morhua",24.5,1.5,48,"SUMMER","ATC",23,26,"ATC1971189-22",17
"37",45.31667,-58.25,1973,7,31,"Anarhichas lupus",74.5,5.5,118,"SUMMER","ATC",69,80,"ATC1973213-59",7
"38",43.51667,-60.66667,1973,7,27,"Hippoglossoides platessoides",40,0,77,"SUMMER","ATC",40,40,"ATC1973213-27",8
"39",44.21667,-60.05,1980,10,18,"Malacoraja senta",55,1,162,"FALL","HAM",54,56,"HAM1980043-23",1
"40",44.93333,-66.4,1980,7,10,"Hemitripterus americanus",57,0,114,"COMPARE","HAM",57,57,"HAM1980037-17",2
"41",43.08333,-61.93333,1979,7,14,"Glyptocephalus cynoglossus",60,2,103,"COMPARE","HAM",58,62,"HAM1979020-63",1
"42",44.15,-63.36667,1979,7,6,"Lycodes vahlii",77,6,144,"COMPARE","HAM",71,83,"HAM1979020-2",5
"43",46.11667,-58.58333,1980,7,24,"Sebastes",175.5,0.5,287,"COMPARE","HAM",175,176,"HAM1980038-68",325
"44",44.33333,-58.38333,1979,3,24,"Amblyraja radiata",34.5,0.5,63,"SPRING","HAM",34,35,"HAM1979014-24",1
"45",42.83333,-65.26667,1978,7,14,"Amblyraja radiata",78,2,127,"SUMMER","ATC",76,80,"ATC1978279-36",13
"46",44.45,-61.9,1976,7,28,"Illex illecebrosus",89.5,1.5,161,"SUMMER","ATC",88,91,"ATC1976251-18",34
"47",44.8,-57.31667,1976,8,3,"Illex illecebrosus",152,1,201,"SUMMER","ATC",151,153,"ATC1976251-57",2
"48",42.66667,-64.76667,1980,7,12,"Gadus morhua",62.5,0.5,119,"SUMMER","ATC",62,63,"ATC1980306-42",5
"49",45.28333,-65.08333,1980,7,9,"Melanogrammus aeglefinus",28,2,61,"SUMMER","ATC",26,30,"ATC1980306-18",3
"50",44.21667,-60.05,1980,10,18,"Gadus morhua",55,1,162,"FALL","HAM",54,56,"HAM1980043-23",45
"51",46.9,-59.88333,1980,10,22,"Sebastes",114.5,4.5,185,"FALL","HAM",110,119,"HAM1980043-61",36
"52",44.93333,-66.4,1980,7,10,"Alosa pseudoharengus",57,0,114,"COMPARE","HAM",57,57,"HAM1980037-17",3
"53",43.01667,-65.55,1975,7,19,"Pseudopleuronectes americanus",61.5,2.5,119,"SUMMER","ATC",59,64,"ATC1975236-28",1
"54",43.06667,-65.28333,1980,7,8,"Zoarces americanus",72.5,3.5,137,"COMPARE","HAM",69,76,"HAM1980037-5",1
"55",43.91667,-62.41667,1979,11,1,"Urophycis tenuis",70.5,0.5,145,"FALL","HAM",70,71,"HAM1979027-7",8
"56",45.28333,-65.08333,1980,7,9,"Urophycis chuss",28,2,61,"SUMMER","ATC",26,30,"ATC1980306-18",2
"57",44.86667,-58.43333,1975,8,4,"Illex illecebrosus",115,10,153,"SUMMER","ATC",105,125,"ATC1975237-55",13
"58",43.63333,-60.48333,1976,7,31,"Hippoglossoides platessoides",32.5,0.5,58,"SUMMER","ATC",32,33,"ATC1976251-39",30
"59",43.88333,-61.28333,1979,3,27,"Pseudopleuronectes americanus",30,2,31,"SPRING","HAM",28,32,"HAM1979014-55",1
"60",45.4,-58.53333,1972,7,17,"Leptoclinus maculatus",80,10,119,"SUMMER","ATC",70,90,"ATC1972201-75",18
"61",45.1,-60.06667,1976,7,29,"Sebastes",45,5,93,"SUMMER","ATC",40,50,"ATC1976251-23",2
"62",42.55,-65.81667,1973,7,16,"Hippoglossoides platessoides",46,1,87,"SUMMER","ATC",45,47,"ATC1973212-41",7
"63",43.4,-61.73333,1975,7,23,"Lophius americanus",43.5,2.5,32,"SUMMER","ATC",41,46,"ATC1975236-64",1
"64",44.1,-58.86667,1979,7,24,"Merluccius bilinearis",58,0,110,"SUMMER","ATC",58,58,"ATC1979293-40",1
"65",43.55,-61.9,1978,7,17,"Melanogrammus aeglefinus",44.5,0.5,79,"SUMMER","ATC",44,45,"ATC1978279-70",594
"66",43.8,-66.36667,1979,7,8,"Hippoglossus hippoglossus",33,6,62,"SUMMER","ATC",27,39,"ATC1979292-15",2
"67",42.46667,-65.81667,1979,7,12,"Limanda ferruginea",58,2,104,"SUMMER","ATC",56,60,"ATC1979292-47",3
"68",47.46667,-60.85,1971,7,21,"Amblyraja radiata",26,1,56,"SUMMER","ATC",25,27,"ATC1971189-66",5
"69",44.86667,-58.28333,1974,7,29,"Lycodes reticulatus",41.5,0.5,81,"SUMMER","ATC",41,42,"ATC1974226-49",13
"70",43.11667,-62.2,1972,6,24,"Lophius americanus",57.5,1.5,105,"SUMMER","ATC",56,59,"ATC1972200-8",1
"71",43.56667,-59.81667,1980,3,9,"Malacoraja senta",142.5,1.5,473,"SPRING","HAM",141,144,"HAM1980033-30",2
"72",44.71667,-57.51667,1976,8,3,"Merluccius bilinearis",18,0,56,"SUMMER","ATC",18,18,"ATC1976251-58",3
"73",42.63333,-65.45,1979,7,12,"Anarhichas lupus",50,0,91,"COMPARE","HAM",50,50,"HAM1979020-49",1
"74",44.41667,-66.65,1973,7,11,"Cyclopterus lumpus",104.5,4.5,184,"SUMMER","ATC",100,109,"ATC1973212-15",1
"75",45.78333,-58.96667,1978,12,1,"Hippoglossoides platessoides",122,6,240,"FALL","HAM",116,128,"HAM1978010-2",102
"76",43.41667,-64.53333,1974,7,14,"Illex illecebrosus",50.5,1.5,96,"SUMMER","ATC",49,52,"ATC1974225-41",9
"77",46.05,-58.76667,1980,10,22,"Hippoglossoides platessoides",85.5,5.5,160,"FALL","HAM",80,91,"HAM1980043-60",19
"78",46.9,-59.88333,1980,10,22,"Lycodes vahlii",114.5,4.5,185,"FALL","HAM",110,119,"HAM1980043-61",1
"79",43.75,-61.36667,1980,10,17,"Urophycis tenuis",25,1,47,"FALL","HAM",24,26,"HAM1980043-5",2
"80",41.61667,-66.16667,1980,3,25,"Amblyraja radiata",51,0,95,"SPRING","HAM",51,51,"HAM1980034-47",2
"81",43.38333,-60.13333,1979,10,19,"Malacoraja senta",158,2,909,"FALL","HAM",156,160,"HAM1979026-15",7
"82",42.38333,-66.96667,1978,7,12,"Argentina silus",184,0,345,"SUMMER","ATC",184,184,"ATC1978279-28",1
"83",44.56667,-61.61667,1980,7,26,"Myxine glutinosa",88,1,158,"COMPARE","HAM",87,89,"HAM1980038-78",1
"84",43.36667,-67.4,1980,10,5,"Sebastes",114,2,188,"FALL","HAM",112,116,"HAM1980042-44",46
"85",43.55,-61.9,1978,7,17,"Anarhichas lupus",44.5,0.5,79,"SUMMER","ATC",44,45,"ATC1978279-70",3
"86",43.58333,-64.68333,1980,3,20,"Merluccius bilinearis",79,1,143,"SPRING","HAM",78,80,"HAM1980034-23",318
"87",42.38333,-67.46667,1979,7,11,"Pollachius virens",171,3,311,"SUMMER","ATC",168,174,"ATC1979292-39",1
"88",44.56667,-66.18333,1979,7,9,"Pollachius virens",57,3,104,"SUMMER","ATC",54,60,"ATC1979292-20",15
"89",44.7,-66.93333,1980,7,10,"Lophius americanus",52,2,92,"SUMMER","ATC",50,54,"ATC1980306-22",1
"90",43.71667,-60.56667,1980,3,10,"Hippoglossoides platessoides",30.5,0.5,58,"SPRING","HAM",30,31,"HAM1980033-36",2
"91",46.26667,-59.75,1974,8,2,"Gadus morhua",37.5,4.5,56,"SUMMER","ATC",42,33,"ATC1974226-78",10
"92",43.31667,-62.35,1980,3,18,"Hippoglossoides platessoides",52,0,92,"SPRING","HAM",52,52,"HAM1980034-11",24
"93",43.31667,-62.35,1980,3,18,"Amblyraja radiata",52,0,92,"SPRING","HAM",52,52,"HAM1980034-11",1
"94",43.63333,-64.35,1979,11,3,"Pollachius virens",96.5,0.5,173,"FALL","HAM",96,97,"HAM1979027-29",1
"95",45.1,-60.06667,1976,7,29,"Gadus morhua",45,5,93,"SUMMER","ATC",40,50,"ATC1976251-23",2
"96",42.88333,-64.76667,1979,11,4,"Scomber scombrus",51,0,92,"FALL","HAM",51,51,"HAM1979027-37",16
"97",42.51667,-66.86667,1979,7,11,"Pollachius virens",148.5,4.5,264,"COMPARE","HAM",144,153,"HAM1979020-40",14
"98",44.55,-58.93333,1979,10,21,"Hippoglossoides platessoides",31.5,2.5,48,"FALL","HAM",29,34,"HAM1979026-40",12
"99",43.66667,-61.63333,1979,11,1,"Hippoglossoides platessoides",36.5,1.5,60,"FALL","HAM",35,38,"HAM1979027-10",2
"100",42.31667,-65.31667,1979,3,11,"Pollachius virens",77,11,114,"SPRING","HAM",66,88,"HAM1979013-43",19
"101",43.05,-63.75,1980,3,20,"Melanogrammus aeglefinus",75.5,0.5,135,"SPRING","HAM",75,76,"HAM1980034-19",141
"102",43.05,-64.66667,1980,3,21,"Triglops murrayi",50,0,87,"SPRING","HAM",50,50,"HAM1980034-32",2
"103",43.05,-64.66667,1980,3,21,"Sebastes",50,0,87,"SPRING","HAM",50,50,"HAM1980034-32",7
"104",43.21667,-62.78333,1970,7,14,"Amblyraja radiata",57,1,104,"SUMMER","ATC",56,58,"ATC1970175-54",1
"105",44.56667,-60.58333,1980,10,19,"Gadus morhua",20,1,36,"FALL","HAM",19,21,"HAM1980043-26",44
"106",42.86667,-65.75,1979,11,5,"Amblyraja radiata",56.5,0.5,115,"FALL","HAM",56,57,"HAM1979027-52",1
"107",44.36667,-59.15,1979,7,24,"Urophycis chuss",90,2,149,"SUMMER","ATC",88,92,"ATC1979293-42",1
"108",43.51667,-60.25,1980,7,19,"Urophycis chuss",57.5,2.5,114,"COMPARE","HAM",55,60,"HAM1980038-21",5
"109",42.66667,-66,1978,7,13,"Hippoglossus hippoglossus",42,1,78,"SUMMER","ATC",41,43,"ATC1978279-30",1
"110",44.56667,-67.15,1979,7,10,"Hemitripterus americanus",39.5,6.5,73,"SUMMER","ATC",33,46,"ATC1979292-30",4
"111",44.56667,-58.58333,1979,3,24,"Hippoglossoides platessoides",36,0,63,"SPRING","HAM",36,36,"HAM1979014-22",88
"112",43.95,-63.83333,1977,7,15,"Brosme brosme",102,2,178,"SUMMER","ATC",100,104,"ATC1977265-48",1
"113",45.4,-65.23333,1971,6,30,"Hemitripterus americanus",25.5,0.5,37,"SUMMER","ATC",25,26,"ATC1971188-5",2
"114",43.41667,-60.53333,1979,7,20,"Amblyraja radiata",111,5,312,"SUMMER","ATC",106,116,"ATC1979293-8",10
"115",43.41667,-65.01667,1980,10,8,"Urophycis chuss",82.5,0.5,164,"FALL","HAM",82,83,"HAM1980042-63",4
"116",44.35,-57.85,1979,3,23,"Amblyraja radiata",71.5,0.5,137,"SPRING","HAM",71,72,"HAM1979014-18",2
"117",44.56667,-60.48333,1971,7,16,"Myoxocephalus octodecemspinosus",17,1,26,"SUMMER","ATC",16,18,"ATC1971189-35",5
"118",44.75,-65.86667,1972,7,1,"Lumpenus lampretaeformis",49,2,63,"SUMMER","ATC",47,51,"ATC1972200-58",1
"119",45.03333,-66.68333,1978,7,9,"Illex illecebrosus",30.5,3.5,51,"SUMMER","ATC",27,34,"ATC1978279-2",2
"120",44.38333,-62.1,1977,7,19,"Pollachius virens",116,2,200,"SUMMER","ATC",114,118,"ATC1977265-88",7
"121",44.26667,-62.96667,1970,7,16,"Hippoglossoides platessoides",97,2,185,"SUMMER","ATC",95,99,"ATC1970175-68",2
"122",42.6,-65.86667,1970,7,10,"Amblyraja radiata",46.5,1.5,84,"SUMMER","ATC",45,48,"ATC1970175-26",3
"123",44.05,-67.13333,1978,7,10,"Merluccius bilinearis",75,5,158,"SUMMER","ATC",70,80,"ATC1978279-13",21
"124",44.01667,-61.26667,1973,7,25,"Glyptocephalus cynoglossus",36,1,69,"SUMMER","ATC",35,37,"ATC1973213-16",2
"125",43.73333,-59.6,1979,7,23,"Limanda ferruginea",42.5,0.5,94,"SUMMER","ATC",42,43,"ATC1979293-33",152
"126",44.56667,-66.18333,1979,7,9,"Urophycis tenuis",57,3,104,"SUMMER","ATC",54,60,"ATC1979292-20",2
"127",46.43333,-60.1,1980,7,25,"Lumpenus lampretaeformis",39,3,60,"SUMMER","ATC",36,42,"ATC1980307-74",7
"128",43.36667,-60.68333,1979,10,19,"Citharichthys arctifrons",115,0,311,"FALL","HAM",115,115,"HAM1979026-13",2
"129",44.93333,-57.66667,1974,7,31,"Hemitripterus americanus",22.5,0.5,46,"SUMMER","ATC",22,23,"ATC1974226-63",1
"130",43.23333,-64.05,1974,7,15,"Hippoglossoides platessoides",49,0,92,"SUMMER","ATC",49,49,"ATC1974225-52",5
"131",44.15,-60.1,1975,7,31,"Amblyraja radiata",60.5,3.5,70,"SUMMER","ATC",57,64,"ATC1975237-21",1
"132",44.96667,-66,1976,7,13,"Urophycis tenuis",51,1,96,"SUMMER","ATC",50,52,"ATC1976250-3",19
"133",44.26667,-59.13333,1980,10,20,"Amblyraja radiata",137,1,200,"FALL","HAM",136,138,"HAM1980043-35",5
"134",44.15,-63.36667,1979,7,6,"Anarhichas lupus",77,6,144,"COMPARE","HAM",71,83,"HAM1979020-2",2
"135",43.75,-62.91667,1979,7,7,"Malacoraja senta",135,0,245,"SUMMER","ATC",135,135,"ATC1979292-3",3
"136",46.51667,-59.68333,1974,8,2,"Malacoraja senta",39.5,1.5,71,"SUMMER","ATC",38,41,"ATC1974226-80",1
"137",42.9,-63,1972,6,24,"Scomber scombrus",73.5,2.5,119,"SUMMER","ATC",71,76,"ATC1972200-12",7
"138",43.98333,-61.25,1976,7,31,"Hippoglossoides platessoides",34.5,1.5,66,"SUMMER","ATC",33,36,"ATC1976251-36",1
"139",44.43333,-60.71667,1978,12,3,"Limanda ferruginea",35,0,64,"FALL","HAM",35,35,"HAM1978010-12",270
"140",43.08333,-62.28333,1980,3,18,"Melanogrammus aeglefinus",59.5,1.5,101,"SPRING","HAM",58,61,"HAM1980034-10",108
"141",44.83333,-65.81667,1970,7,8,"Anarhichas lupus",50,2,84,"SUMMER","ATC",48,52,"ATC1970175-9",2
"142",43.76667,-63.98333,1970,7,13,"Squalus acanthias",129.5,4.5,229,"SUMMER","ATC",125,134,"ATC1970175-44",1
"143",44.35,-57.91667,1973,7,30,"Hippoglossus hippoglossus",75,5,246,"SUMMER","ATC",70,80,"ATC1973213-49",4
"144",43.73333,-59.05,1971,7,14,"Brosme brosme",159.5,1.5,538,"SUMMER","ATC",158,161,"ATC1971189-18",3
"145",45.33333,-65.26667,1979,7,9,"Amblyraja radiata",25,1,57,"COMPARE","HAM",24,26,"HAM1979020-25",3
"146",42.88333,-62.56667,1979,7,13,"Nezumia bairdii",166.5,3.5,413,"COMPARE","HAM",163,170,"HAM1979020-61",1
"147",43.9,-58.81667,1974,7,26,"Argentina silus",134.5,3.5,440,"SUMMER","ATC",131,138,"ATC1974226-25",9
"148",42.38333,-66.96667,1978,7,12,"Illex illecebrosus",184,0,345,"SUMMER","ATC",184,184,"ATC1978279-28",7
"149",43.95,-61.53333,1978,7,16,"Merluccius bilinearis",26.5,0.5,51,"SUMMER","ATC",26,27,"ATC1978279-62",1
"150",43.95,-61.53333,1978,7,16,"Squalus acanthias",26.5,0.5,51,"SUMMER","ATC",26,27,"ATC1978279-62",1
"151",42.33333,-66.93333,1977,7,12,"Gadus morhua",164,1,313,"SUMMER","ATC",163,165,"ATC1977265-25",2
"152",43.58333,-64.68333,1980,3,20,"Clupea harengus",79,1,143,"SPRING","HAM",78,80,"HAM1980034-23",9
"153",44.21667,-61.18333,1979,3,27,"Pollachius virens",46,2,75,"SPRING","HAM",44,48,"HAM1979014-58",1
"154",43.63333,-64.35,1979,11,3,"Malacoraja senta",96.5,0.5,173,"FALL","HAM",96,97,"HAM1979027-29",1
"155",43.96667,-61.38333,1980,3,10,"Pseudopleuronectes americanus",44.5,0.5,64,"SPRING","HAM",44,45,"HAM1980033-38",1
"156",43.73333,-59.25,1980,10,18,"Amblyraja radiata",66,0,138,"FALL","HAM",66,66,"HAM1980043-16",16
"157",42.46667,-65.63333,1978,7,13,"Hippoglossus hippoglossus",49,0,90,"SUMMER","ATC",49,49,"ATC1978279-32",1
"158",45.45,-60.05,1979,3,22,"Aspidophoroides monopterygius",92,0,155,"SPRING","HAM",92,92,"HAM1979014-4",1
"159",44.15,-61.95,1978,12,5,"Urophycis chuss",84.5,1.5,147,"FALL","HAM",83,86,"HAM1978010-20",9
"160",43.33333,-65.13333,1979,3,6,"Glyptocephalus cynoglossus",84.5,1.5,155,"SPRING","HAM",83,86,"HAM1979013-8",24
"161",43.05,-63.75,1980,3,20,"Pollachius virens",75.5,0.5,135,"SPRING","HAM",75,76,"HAM1980034-19",26
"162",44.85,-66.21667,1975,7,15,"Amblyraja radiata",61.5,0.5,119,"SUMMER","ATC",61,62,"ATC1975236-4",5
"163",43.05,-64.66667,1980,3,21,"Clupea harengus",50,0,87,"SPRING","HAM",50,50,"HAM1980034-32",7
"164",43.15,-61.78333,1976,7,27,"Limanda ferruginea",51,1,51,"SUMMER","ATC",50,52,"ATC1976251-5",4
"165",43.5,-62.5,1977,7,17,"Melanogrammus aeglefinus",45,0,83,"SUMMER","ATC",45,45,"ATC1977265-66",746
"166",44.2,-58.9,1973,7,28,"Gadus morhua",34.5,0.5,114,"SUMMER","ATC",34,35,"ATC1973213-40",4
"167",44.71667,-66.1,1980,7,9,"Gadus morhua",54.5,0.5,98,"SUMMER","ATC",54,55,"ATC1980306-15",43
"168",42.51667,-66.86667,1979,7,11,"Hemitripterus americanus",148.5,4.5,264,"COMPARE","HAM",144,153,"HAM1979020-40",1
"169",43.36667,-60.7,1980,3,10,"Lophius americanus",134.5,1.5,267,"SPRING","HAM",133,136,"HAM1980033-34",3
"170",44.75,-65.86667,1972,7,1,"Clupea harengus",49,2,63,"SUMMER","ATC",47,51,"ATC1972200-58",2
"171",44.56667,-66.18333,1979,7,9,"Alosa sapidissima",57,3,104,"SUMMER","ATC",54,60,"ATC1979292-20",1
"172",44.1,-60.63333,1978,11,21,"Squalus acanthias",26.5,0.5,43,"FALL","HAM",26,27,"HAM1978009-32",2
"173",42.76667,-64.98333,1980,10,3,"Myoxocephalus octodecemspinosus",55.5,1.5,102,"FALL","HAM",54,57,"HAM1980042-26",23
"174",44.33333,-58.95,1979,10,21,"Gadus morhua",61,1,90,"FALL","HAM",60,62,"HAM1979026-37",5
"175",43.38333,-60.13333,1979,10,19,"Brosme brosme",158,2,909,"FALL","HAM",156,160,"HAM1979026-15",3
"176",42.45,-66.46667,1976,7,16,"Pollachius virens",146.5,0.5,267,"SUMMER","ATC",146,147,"ATC1976250-27",1
"177",43.38333,-61.56667,1976,7,27,"Glyptocephalus cynoglossus",41,1,13,"SUMMER","ATC",40,42,"ATC1976251-8",4
"178",43.98333,-60.88333,1972,7,12,"Tautogolabrus adspersus",26,1,48,"SUMMER","ATC",25,27,"ATC1972201-50",4
"179",43.51667,-60.6,1980,7,19,"Illex illecebrosus",41.5,1.5,78,"COMPARE","HAM",40,43,"HAM1980038-18",4
"180",44.26667,-59.13333,1980,10,20,"Lycodes vahlii",137,1,200,"FALL","HAM",136,138,"HAM1980043-35",1
"181",45.18333,-58.38333,1973,7,31,"Zoarces americanus",75,7,152,"SUMMER","ATC",68,82,"ATC1973213-61",3
"182",44.38333,-59.41667,1975,8,2,"Amblyraja radiata",84,21,158,"SUMMER","ATC",63,105,"ATC1975237-39",5
"183",44.01667,-61.26667,1973,7,25,"Melanogrammus aeglefinus",36,1,69,"SUMMER","ATC",35,37,"ATC1973213-16",2
"184",44.43333,-66.41667,1970,7,8,"Squalus acanthias",103.5,1.5,190,"SUMMER","ATC",102,105,"ATC1970175-11",1
"185",44.56667,-66.1,1975,7,16,"Zoarces americanus",47,5,58,"SUMMER","ATC",42,52,"ATC1975236-12",5
"186",44.46667,-59.26667,1970,7,25,"Merluccius bilinearis",32,0,80,"SUMMER","ATC",32,32,"ATC1970176-38",2
"187",45.4,-59.13333,1979,7,22,"Gadus morhua",46,4,102,"SUMMER","ATC",42,50,"ATC1979293-24",3
"188",46.31667,-58.95,1978,7,30,"Myxine glutinosa",153,3,256,"SUMMER","ATC",150,156,"ATC1978280-57",1
"189",46.46667,-59.45,1979,7,27,"Illex illecebrosus",76,2,122,"SUMMER","ATC",74,78,"ATC1979293-67",5
"190",46.33333,-59.83333,1974,8,2,"Glyptocephalus cynoglossus",32,2,58,"SUMMER","ATC",30,34,"ATC1974226-79",17
"191",43.95,-63.83333,1977,7,15,"Merluccius bilinearis",102,2,178,"SUMMER","ATC",100,104,"ATC1977265-48",27
"192",43.11667,-62.2,1972,6,24,"Hippoglossoides platessoides",57.5,1.5,105,"SUMMER","ATC",56,59,"ATC1972200-8",1
"193",43.66667,-61.63333,1979,11,1,"Myoxocephalus octodecemspinosus",36.5,1.5,60,"FALL","HAM",35,38,"HAM1979027-10",2
"194",42.96667,-62.18333,1977,7,16,"Hippoglossoides platessoides",114,1,232,"SUMMER","ATC",113,115,"ATC1977265-59",6
"195",43.63333,-59.85,1977,7,24,"Hippoglossoides platessoides",68.5,2.5,130,"SUMMER","ATC",66,71,"ATC1977266-7",21
"196",44.13333,-61.05,1977,7,18,"Gadus morhua",33,1,58,"SUMMER","ATC",32,34,"ATC1977265-77",35
"197",43.56667,-59.81667,1980,3,9,"Leucoraja ocellata",142.5,1.5,473,"SPRING","HAM",141,144,"HAM1980033-30",5
"198",44.45,-58.68333,1977,7,26,"Hippoglossoides platessoides",36.5,0.5,65,"SUMMER","ATC",36,37,"ATC1977266-22",12
"199",46.96667,-60.03333,1971,7,21,"Sebastes",84,0,153,"SUMMER","ATC",84,84,"ATC1971189-62",22
"200",45.11667,-65.58333,1975,7,16,"Hemitripterus americanus",39.5,2.5,63,"SUMMER","ATC",37,42,"ATC1975236-7",3
"201",44.08333,-60.63333,1974,7,24,"Merluccius bilinearis",24,0,49,"SUMMER","ATC",24,24,"ATC1974226-11",4
"202",44.78333,-66.51667,1975,7,15,"Malacoraja senta",88.5,2.5,121,"SUMMER","ATC",86,91,"ATC1975236-3",1
"203",43.65,-63.6,1979,7,7,"Merluccius bilinearis",123.5,2.5,218,"COMPARE","HAM",121,126,"HAM1979020-5",533
"204",44.26667,-59.13333,1980,10,20,"Nezumia bairdii",137,1,200,"FALL","HAM",136,138,"HAM1980043-35",3
"205",44.58333,-57.96667,1980,7,23,"Sebastes",28.5,1.5,46,"COMPARE","HAM",27,30,"HAM1980038-55",1
"206",44.96667,-66.46667,1977,7,9,"Merluccius bilinearis",47,2,92,"SUMMER","ATC",45,49,"ATC1977265-2",1
"207",43.75,-62.91667,1979,7,7,"Urophycis tenuis",135,0,245,"SUMMER","ATC",135,135,"ATC1979292-3",7
"208",42.35,-67.13333,1980,7,11,"Sebastes",164,4,315,"SUMMER","ATC",160,168,"ATC1980306-32",12
"209",45.15,-65.06667,1980,7,9,"Pseudopleuronectes americanus",32,0,55,"SUMMER","ATC",32,32,"ATC1980306-16",4
