"PID","POS","X","Y","label"
8,8,-61.35264,45.50346,"4WD"
8,9,-61.66667,45.16666,"4WD"
9,1,-61.33333,44.83333,"4WE"
9,2,-61.33333,44.66666,"4WE"
9,3,-61.16667,44.66666,"4WE"
9,4,-61.16667,44.16666,"4WE"
9,5,-60,44.16666,"4WE"
9,6,-60,44.83333,"4WE"
9,7,-61.33333,44.83333,"4WE"
10,1,-61,44.16666,"4WF"
10,2,-61,43.5,"4WF"
10,3,-60.16667,43.5,"4WF"
10,4,-60.16667,43.66666,"4WF"
10,5,-59.5,43.66666,"4WF"
10,6,-59.5,44.16666,"4WF"
10,7,-61,44.16666,"4WF"
11,1,-60.66667,43.5,"4WG"
11,2,-60.66667,43,"4WG"
11,3,-59,43,"4WG"
11,4,-59,44.16666,"4WG"
11,5,-59.5,44.16666,"4WG"
11,6,-59.5,43.66666,"4WG"
11,7,-60.16667,43.66666,"4WG"
11,8,-60.16667,43.5,"4WG"
11,9,-60.66667,43.5,"4WG"
12,1,-62.16667,44.5,"4WH"
12,2,-62.16667,43.83333,"4WH"
12,3,-61.66667,43.83333,"4WH"
12,4,-61.66667,43.66666,"4WH"
12,5,-61.5,43.66666,"4WH"
12,6,-61.5,43.5,"4WH"
12,7,-61,43.5,"4WH"
12,8,-61,44.16666,"4WH"
12,9,-61.16667,44.16666,"4WH"
12,10,-61.16667,44.66666,"4WH"
12,11,-61.33333,44.66666,"4WH"
12,12,-61.33333,44.83333,"4WH"
12,13,-61.5,44.83333,"4WH"
12,14,-61.5,44.66666,"4WH"
12,15,-62,44.66666,"4WH"
12,16,-62,44.5,"4WH"
12,17,-62.16667,44.5,"4WH"
13,1,-62.16667,43.83333,"4WJ"
13,2,-62.16667,42.66666,"4WJ"
13,3,-60.66667,42.66666,"4WJ"
13,4,-60.66667,43.5,"4WJ"
13,5,-61.5,43.5,"4WJ"
13,6,-61.5,43.66666,"4WJ"
13,7,-61.66667,43.66666,"4WJ"
13,8,-61.66667,43.83333,"4WJ"
13,9,-62.16667,43.83333,"4WJ"
14,1,-63.5,44.5,"4WK"
14,2,-63.33333,44.33333,"4WK"
14,3,-63.33333,44,"4WK"
14,4,-62.16667,44,"4WK"
14,5,-62.16667,44.5,"4WK"
14,6,-62,44.5,"4WK"
14,7,-62,44.66666,"4WK"
14,8,-61.5,44.66666,"4WK"
14,9,-61.5,45,"4WK"
14,10,-61.66667,45.16666,"4WK"
14,11,-63,45,"4WK"
14,12,-63.8969,44.78118,"4WK"
14,13,-63.5,44.5,"4WK"
15,1,-63.33333,44,"4WL"
15,2,-63.33333,42.66666,"4WL"
15,3,-62.16667,42.66666,"4WL"
15,4,-62.16667,44,"4WL"
15,5,-63.33333,44,"4WL"
16,1,-63.33333,42.66666,"4WM"
16,2,-63.33333,41,"4WM"
16,3,-61.5,41,"4WM"
16,4,-61.5,41.5,"4WM"
16,5,-60.5,41.5,"4WM"
16,6,-60.5,42,"4WM"
16,7,-59,42,"4WM"
16,8,-59,43,"4WM"
16,9,-60.66667,43,"4WM"
16,10,-60.66667,42.66666,"4WM"
16,11,-63.33333,42.66666,"4WM"
17,1,-59,42,"4WW"
17,2,-59,39,"4WW"
17,3,-63.3333,39,"4WW"
17,4,-63.3333,41,"4WW"
17,5,-61.5,41,"4WW"
17,6,-61.5,41.5,"4WW"
17,7,-60.5,41.5,"4WW"
17,8,-60.5,42,"4WW"
17,9,-59,42,"4WW"
18,1,-66.903126,44.776485,"4X"
18,2,-66.903126,43.833333,"4X"
18,3,-67.407567,43.833333,"4X"
18,4,-67.743056,42.887222,"4X"
18,5,-67.468056,42.518889,"4X"
18,6,-67.303653,42.333333,"4X"
18,7,-66,42.33333,"4X"
18,8,-65.66667,42,"4X"
18,9,-65.66667,39,"4X"
18,10,-63.33333,39,"4X"
18,11,-63.33333,44.33333,"4X"
18,12,-63.5,44.5,"4X"
18,13,-63.8969,44.78118,"4X"
18,14,-63,45,"4X"
18,15,-63.16667,45.63611,"4X"
18,16,-64.32911,46.01785,"4X"
18,17,-68.41711,45.37946,"4X"
18,18,-66.903126,44.776485,"4X"
19,1,-65.66667,42,"4XL"
19,2,-65.66667,40.66666,"4XL"
19,3,-65.16667,40.66666,"4XL"
19,4,-65.16667,40.83333,"4XL"
19,5,-64.83333,40.83333,"4XL"
19,6,-64.83333,41,"4XL"
19,7,-64.16667,41,"4XL"
19,8,-64.16667,41.16666,"4XL"
19,9,-63.66667,41.16666,"4XL"
19,10,-63.66667,41.5,"4XL"
19,11,-63.33333,41.5,"4XL"
19,12,-63.33333,42,"4XL"
19,13,-65.66667,42,"4XL"
20,1,-64.5,44.16666,"4XM"
20,2,-64.33333,44,"4XM"
20,3,-64.33333,43.66666,"4XM"
20,4,-63.33333,43.66666,"4XM"
20,5,-63.33333,44.33333,"4XM"
20,6,-63.5,44.5,"4XM"
20,7,-63.8969,44.78118,"4XM"
20,8,-64.5,44.78118,"4XM"
20,9,-64.5,44.16666,"4XM"
21,1,-65.5,42.83333,"4XN"
21,2,-65.5,42,"4XN"
21,3,-63.33333,42,"4XN"
21,4,-63.33333,43.66666,"4XN"
21,5,-64.33333,43.66666,"4XN"
21,6,-64.33333,43.33333,"4XN"
21,7,-64.5,43.33333,"4XN"
21,8,-64.5,43.16666,"4XN"
21,9,-64.83333,43.16666,"4XN"
21,10,-64.83333,42.83333,"4XN"
21,11,-65.5,42.83333,"4XN"
22,1,-65.83333,43.58333,"4XO"
22,2,-65.83333,43.16666,"4XO"
22,3,-66.16667,43.16666,"4XO"
22,4,-66.16667,42.83333,"4XO"
22,5,-64.83333,42.83333,"4XO"
22,6,-64.83333,43.16666,"4XO"
22,7,-64.5,43.16666,"4XO"
22,8,-64.5,43.33333,"4XO"
22,9,-64.33333,43.33333,"4XO"
22,10,-64.33333,44,"4XO"
22,11,-64.5,44.16666,"4XO"
22,12,-65.83333,44.16666,"4XO"
22,13,-65.83333,43.58333,"4XO"
23,1,-67.703065,43,"4XP"
23,2,-67.743056,42.887222,"4XP"
23,3,-67.468056,42.518889,"4XP"
23,4,-67.303653,42.333333,"4XP"
23,5,-66,42.33333,"4XP"
23,6,-65.66667,42,"4XP"
23,7,-65.5,42,"4XP"
23,8,-65.5,42.83333,"4XP"
23,9,-66.16667,42.83333,"4XP"
23,10,-66.16667,43,"4XP"
23,11,-67.66667,43,"4XP"
24,1,-66.16667,44,"4XQ"
24,2,-66.903126,44,"4XQ"
24,3,-66.903126,43.833333,"4XQ"
24,4,-67.407567,43.833333,"4XQ"
24,5,-67.66667,43.102636,"4XQ"
24,6,-67.703065,43,"4XQ"
24,7,-66.16667,43,"4XQ"
24,8,-66.16667,43.16666,"4XQ"
24,9,-65.83333,43.16666,"4XQ"
24,10,-65.83333,43.58333,"4XQ"
24,11,-65.5,44,"4XQ"
24,12,-66.16667,44,"4XQ"
25,1,-64.91667,45.33333,"4XR"
25,2,-66.9031,44.265,"4XR"
25,3,-66.903126,44,"4XR"
25,4,-66.16667,44,"4XR"
25,5,-63.8969,44.78118,"4XR"
25,6,-63,45,"4XR"
25,7,-63.16667,45.63611,"4XR"
25,8,-64,45.83333,"4XR"
25,9,-64.91667,45.33333,"4XR"
26,1,-66.903126,44.776485,"4XS"
26,2,-66.9031,44.265,"4XS"
26,3,-64.91667,45.33333,"4XS"
26,4,-64,45.83333,"4XS"
26,5,-64.32911,46.01785,"4XS"
26,6,-68.41711,45.37946,"4XS"
26,7,-66.903126,44.776485,"4XS"
27,1,-63.3333,41.5,"4XX"
27,2,-63.3333,39,"4XX"
27,3,-65.6667,39,"4XX"
27,4,-65.6667,40.66667,"4XX"
27,5,-65.1667,40.66667,"4XX"
27,6,-65.1667,40.83333,"4XX"
27,7,-64.8333,40.83333,"4XX"
27,8,-64.8333,41,"4XX"
27,9,-64.1667,41,"4XX"
27,10,-64.1667,41.16667,"4XX"
27,11,-63.6667,41.16667,"4XX"
27,12,-63.6667,41.5,"4XX"
27,13,-63.3333,41.5,"4XX"
28,1,-71.66666,41.33333,"5Y"
28,2,-70,41.33333,"5Y"
28,3,-70,42.33333,"5Y"
28,4,-67.303653,42.333333,"5Y"
28,5,-67.468056,42.518889,"5Y"
28,6,-67.743056,42.887222,"5Y"
28,7,-67.407567,43.833333,"5Y"
28,8,-66.903126,43.833333,"5Y"
28,9,-66.903126,44.776485,"5Y"
28,10,-68.41711,45.37946,"5Y"
28,11,-72.51185,42.45778,"5Y"
28,12,-71.66666,41.33333,"5Y"
29,1,-68.08333,44.33333,"5YB"
29,2,-68.08333,44.16666,"5YB"
29,3,-67.66667,44.16666,"5YB"
29,4,-67.66667,43.83333,"5YB"
29,5,-67.66667,43.102636,"5YB"
29,6,-67.407567,43.833333,"5YB"
29,7,-66.903126,43.833333,"5YB"
29,8,-66.903126,44.776485,"5YB"
29,9,-68.41711,45.37946,"5YB"
29,10,-68.08333,44.33333,"5YB"
30,1,-69.33333,43.96666,"5YC"
30,2,-69.33333,43.66666,"5YC"
30,3,-68.83333,43.66666,"5YC"
30,4,-68.83333,43.33333,"5YC"
30,5,-67.66667,43.33333,"5YC"
30,6,-67.66667,44.16666,"5YC"
30,7,-68.08333,44.16666,"5YC"
30,8,-68.08333,44.33333,"5YC"
30,9,-68.41711,45.37946,"5YC"
30,10,-69.33333,43.96666,"5YC"
31,1,-70.81667,42.83333,"5YD"
31,2,-69.16667,42.83333,"5YD"
31,3,-69.16667,43,"5YD"
31,4,-69,43,"5YD"
31,5,-69,43.16666,"5YD"
31,6,-68.83333,43.16666,"5YD"
31,7,-68.83333,43.66666,"5YD"
31,8,-69.33333,43.66666,"5YD"
31,9,-69.33333,43.96666,"5YD"
31,10,-68.41711,45.37946,"5YD"
31,11,-72.51186,42.45778,"5YD"
31,12,-70.81667,42.83333,"5YD"
32,1,-71.66667,41.33333,"5YE"
32,2,-70,41.33333,"5YE"
32,3,-70,42.33333,"5YE"
32,4,-69.66667,42.33333,"5YE"
32,5,-69.66667,42.83333,"5YE"
32,6,-70.81667,42.83333,"5YE"
32,7,-71.66667,41.33333,"5YE"
33,1,-69.66667,42.83333,"5YF"
33,2,-69.66667,42.33333,"5YF"
33,3,-67.66667,42.33333,"5YF"
33,4,-67.303653,42.333333,"5YF"
33,5,-67.468056,42.518889,"5YF"
33,6,-67.743056,42.887222,"5YF"
33,7,-67.703065,43,"5YF"
33,8,-67.66667,43.102636,"5YF"
33,9,-67.66667,43.33333,"5YF"
33,10,-68.83333,43.33333,"5YF"
33,11,-68.83333,43.16666,"5YF"
33,12,-69,43.16666,"5YF"
33,13,-69,43,"5YF"
33,14,-69.16667,43,"5YF"
33,15,-69.16667,42.83333,"5YF"
33,16,-69.66667,42.83333,"5YF"
34,1,-65.66666,42,"5ZC"
34,2,-65.66666,40.41148,"5ZC"
34,3,-67.309441,42.33333,"5ZC"
34,4,-66,42.33333,"5ZC"
35,1,-70,42.33333,"5ZE"
35,2,-70,39,"5ZE"
35,3,-65.66666,39,"5ZE"
35,4,-65.66666,42,"5ZE"
35,5,-66,42.33333,"5ZE"
35,6,-70,42.33333,"5ZE"
36,1,-70,42.33333,"5ZEG"
36,2,-70,41.33333,"5ZEG"
36,3,-69.83333,41.33333,"5ZEG"
36,4,-69.83333,41.16666,"5ZEG"
36,5,-69.5,41.16666,"5ZEG"
36,6,-69.5,41,"5ZEG"
36,7,-68.83333,41,"5ZEG"
36,8,-68.83333,42.33333,"5ZEG"
36,9,-70,42.33333,"5ZEG"
37,1,-68.83333,42.33333,"5ZEH"
37,2,-68.83333,41,"5ZEH"
37,3,-68.33333,41,"5ZEH"
37,4,-68.33333,41.16666,"5ZEH"
37,5,-68.16667,41.16666,"5ZEH"
37,6,-68.16667,41.33333,"5ZEH"
37,7,-67.66667,41.33333,"5ZEH"
37,8,-67.66667,42.33333,"5ZEH"
37,9,-68.83333,42.33333,"5ZEH"
38,1,-67.66667,42.33333,"5ZEJ"
38,2,-67.66667,41.83333,"5ZEJ"
38,3,-65.66667,41.83333,"5ZEJ"
38,4,-65.66667,42,"5ZEJ"
38,5,-66,42.33333,"5ZEJ"
38,6,-67.66667,42.33333,"5ZEJ"
39,1,-67.66667,41.83333,"5ZEM"
39,2,-67.66667,41.16666,"5ZEM"
39,3,-67.16667,41.16666,"5ZEM"
39,4,-67.16667,41,"5ZEM"
39,5,-67,41,"5ZEM"
39,6,-67,39.83333,"5ZEM"
39,7,-66.83333,39.83333,"5ZEM"
39,8,-66.83333,39.66666,"5ZEM"
39,9,-66.66667,39.66666,"5ZEM"
39,10,-66.66667,39,"5ZEM"
39,11,-65.66667,39,"5ZEM"
39,12,-65.66667,41.83333,"5ZEM"
39,13,-67.66667,41.83333,"5ZEM"
40,1,-68.83333,41,"5ZEN"
40,2,-68.33333,41,"5ZEN"
40,3,-68.33333,41.16666,"5ZEN"
40,4,-68.16667,41.16666,"5ZEN"
40,5,-68.16667,41.33333,"5ZEN"
40,6,-67.66667,41.33333,"5ZEN"
40,7,-67.66667,41.16666,"5ZEN"
40,8,-67.16667,41.16666,"5ZEN"
40,9,-67.16667,41,"5ZEN"
40,10,-67,41,"5ZEN"
40,11,-67,39.83333,"5ZEN"
40,12,-66.83333,39.83333,"5ZEN"
40,13,-66.83333,39.66666,"5ZEN"
40,14,-66.66667,39.66666,"5ZEN"
40,15,-66.66667,39,"5ZEN"
40,16,-68.83333,39,"5ZEN"
40,17,-68.83333,41,"5ZEN"
41,1,-70,41.33333,"5ZEO"
41,2,-70,39,"5ZEO"
41,3,-68.83333,39,"5ZEO"
41,4,-68.83333,41,"5ZEO"
41,5,-69.5,41,"5ZEO"
41,6,-69.5,41.16666,"5ZEO"
41,7,-69.83333,41.16666,"5ZEO"
41,8,-69.83333,41.33333,"5ZEO"
41,9,-70,41.33333,"5ZEO"
42,1,-71.66667,41.33333,"5ZWQ"
42,2,-71.66667,39,"5ZWQ"
42,3,-70,39,"5ZWQ"
42,4,-70,41.33333,"5ZWQ"
42,5,-71.66667,41.33333,"5ZWQ"
